Dataset,Rows,ILS-30_mean,ILS-30_std,ILS-30_budget,ILS-30_runtime_mean,ILS-30_runtime_std,ILS-30_tier,ILS-50_mean,ILS-50_std,ILS-50_budget,ILS-50_runtime_mean,ILS-50_runtime_std,ILS-50_tier,ILS-100_mean,ILS-100_std,ILS-100_budget,ILS-100_runtime_mean,ILS-100_runtime_std,ILS-100_tier,ILS-200_mean,ILS-200_std,ILS-200_budget,ILS-200_runtime_mean,ILS-200_runtime_std,ILS-200_tier,TS-30_mean,TS-30_std,TS-30_budget,TS-30_runtime_mean,TS-30_runtime_std,TS-30_tier,TS-50_mean,TS-50_std,TS-50_budget,TS-50_runtime_mean,TS-50_runtime_std,TS-50_tier,TS-100_mean,TS-100_std,TS-100_budget,TS-100_runtime_mean,TS-100_runtime_std,TS-100_tier,TS-200_mean,TS-200_std,TS-200_budget,TS-200_runtime_mean,TS-200_runtime_std,TS-200_tier
7z,68640,0.03125077587113,0.03434394291174739,30,0.1943025708198547,0.009820130294236675,2,0.026519555066496926,0.029979223344502166,50,0.29553215503692626,0.010995297549133651,2,0.014779055490829621,0.016988933276418334,100,0.6477238893508911,0.01339230174383383,1,0.00697833973829836,0.006961325349627103,200,1.2053574919700623,0.021338432585372474,1,0.02358863250310075,0.026378378844606865,30.0,0.18885197639465331,0.005033153316623921,2.0,0.02174382796344993,0.02588607361294645,50,0.3321207284927368,0.00853637855257162,2,0.012898473311918901,0.017258528045997146,100,0.6649626851081848,0.012587148249733152,1,0.008415451127706065,0.007080292227552825,200,1.3073880434036256,0.03471091061314646,1
Apache_AllMeasurements,192,0.02797751549548381,0.014323191489742405,30,0.16041381359100343,0.0072368593425123275,2,0.024627830786810124,0.010305029137727737,50,0.23697302341461177,0.015686395827779184,1,0.02207000611452826,0.0008598718035119674,100,0.4199709057807922,0.02714570893416281,1,0.022020743548390693,0.0008226661473570817,200,0.6833064556121826,0.04528819513061327,1,0.02916692397575623,0.017058453903882612,30.0,0.1583100914955139,0.011841950257904743,2.0,0.02223062549514762,0.0010064009405496071,50,0.23546171188354487,0.017951505399317755,1,0.022079682132954276,0.0008660071921179725,100,0.44220685958862305,0.02057724639044944,1,0.022020743548390693,0.0008226661473570817,200,0.6544271826744079,0.033811588167909475,1
BDBC,2560,0.002628264721992975,0.001838897719605424,30,0.15710012912750243,0.004894189606165737,3,0.0018822827172831301,0.001291007896061017,50,0.25496343374252317,0.00826149116083244,2,0.0009424959954919248,0.0009384804284689846,100,0.5286332249641419,0.009790654736642888,1,0.000488257925211255,0.0006455214571979931,200,1.261450755596161,0.018944120150357922,1,0.0028488819518176604,0.0016939402802369115,30.0,0.16250936985015865,0.005577241823989533,3.0,0.0016855160957063749,0.0011716703840685516,50,0.2526730179786682,0.005610045230089563,2,0.00041037054818518,0.0004294138458931701,100,0.5305193901062012,0.010567035760842917,1,0.00024848175711157,0.00013471065030409217,200,1.2639401316642762,0.012541815143372992,1
FFM-1000-200-0.50-SAT-1,10000,0.31178995619108596,0.04106952570959676,30,0.42385087013244627,0.014665613500481638,3,0.2878380378287441,0.026981209323958012,50,0.41606205701828003,0.023988267907313926,2,0.2631269353852784,0.02445061058563901,100,1.4413244128227234,0.11434393654551356,1,0.25247019594981257,0.018630713886211125,200,2.6860084772109984,0.03374723501494104,1,0.3121279072323543,0.044033802961684895,30.0,0.2656076192855835,0.004834577779463733,3.0,0.2836890711356176,0.028259674410664126,50,0.45048166513442994,0.01918486998580913,2,0.26589001852965993,0.020943031406873598,100,1.625693106651306,0.0535907090059585,1,0.24691524158173644,0.01300747208705628,200,1.7108981013298035,0.07081756790278525,1
FFM-125-25-0.50-SAT-1,10000,0.25751251455716295,0.039630769041465584,30,0.30103532075881956,0.004054492313889366,2,0.23827086654724758,0.020401178221433565,50,0.5161796092987061,0.0072018696275225145,1,0.22538350084854888,0.01545246329754102,100,1.0124275803565979,0.04196297832891185,1,0.21923145003269728,0.01007471969774962,200,1.479545772075653,0.22458178044968147,1,0.2688279445192666,0.03687972460918409,30.0,0.3073256492614746,0.0014073225759480793,2.0,0.238999202712052,0.025257705369852532,50,0.5166365265846252,0.00251859994261071,1,0.2254710656258943,0.01648526092874271,100,1.0522743821144105,0.0361362861431551,1,0.2159108050021709,0.008517841012079653,200,1.4956228733062744,0.19991876104102285,1
FFM-250-50-0.50-SAT-1,10000,0.38112975112347536,0.02703086253814867,30,0.2048219799995422,0.007589379615132951,2,0.36515722606579215,0.015525272059724452,50,0.5065871238708496,0.014082907391936716,1,0.361157311313211,0.014761462647699767,100,0.708704674243927,0.10101585440414454,1,0.3546036245769649,0.008005649837828793,200,3.827712595462799,0.14093372641089388,1,0.38089993665186506,0.023447163342088816,30.0,0.21521742343902583,0.004322341398260364,2.0,0.36286414840729425,0.010482881881571322,50,0.3573944687843323,0.007228177043605572,1,0.35497455742010053,0.008995475003004285,100,0.7126262068748475,0.012360637810981795,1,0.3473882969139572,0.007432782324397576,200,3.9942614793777467,0.14318173927965452,1
FFM-500-100-0.50-SAT-1,10000,0.3692205751017223,0.05049507266955459,30,0.639547061920166,0.019348105091964062,3,0.3455632206871144,0.038700310986726244,50,1.0251780152320862,0.03367936509735411,2,0.31366125980989995,0.027864079826655324,100,0.7671536326408386,0.020029198841820545,1,0.2941835731978644,0.016227514224425494,200,1.4936945676803588,0.021123176121501424,1,0.37067363852214663,0.043838445933600555,30.0,0.23830893039703366,0.0030246054264296577,3.0,0.33733894815920873,0.03209974702222371,50,0.39749462604522706,0.004711113353452768,2,0.30189900116272056,0.02336665385830855,100,0.7896178960800171,0.039692411968371206,1,0.28379547940716066,0.01409031825699021,200,4.246273255348205,0.18109339230996627,1
FM-500-100-0.25-SAT-1,10000,0.3715314336949382,0.027816219371704434,30,0.2476403951644897,0.004879969227827721,2,0.3561621786752577,0.01954619855518082,50,0.4175854563713074,0.011042397637009819,2,0.34074925845485066,0.015784562023967955,100,0.7453240275382995,0.00981904600761704,1,0.33054461197142077,0.009064083238406209,200,1.4967109560966492,0.008332398017132208,1,0.3668062565061885,0.03245539683245661,30.0,0.2516839623451233,0.004449909535083212,2.0,0.3449536156626085,0.01862617307358455,50,0.39050381183624266,0.002308650197473601,1,0.33241866568128864,0.007898713941554359,100,0.7779011726379395,0.00616412303795421,1,0.3273898396308697,0.006387349715751135,200,4.3896474719047545,0.1463225018123769,1
FM-500-100-0.50-SAT-1,10000,0.3646965650906163,0.03671309258374311,30,0.2233332514762878,0.004456810176427201,3,0.3449352645804857,0.0329405151318406,50,0.372997522354126,0.006566375871956217,2,0.30798994485762954,0.02104813747842807,100,0.7803711056709289,0.009975163046433434,1,0.299331184127232,0.01893904622548572,200,1.945267629623413,0.2517508969957356,1,0.3507695185152116,0.031505230278484786,30.0,0.2822591304779053,0.007048101012843501,3.0,0.33176058231487454,0.023033925054276164,50,0.39077234268188477,0.0042142051383501685,2,0.31707187749565197,0.01704618152657665,100,0.9822817802429199,0.0912202952341244,1,0.3049417601424443,0.01109653944605403,200,1.5713937997817993,0.014727332068090319,1
FM-500-100-0.75-SAT-1,10000,0.3132776544464311,0.04309607432379354,30,0.22420977354049682,0.009851733244594556,2,0.30214323013676714,0.039281676305067174,50,0.9744276762008667,0.035440671472972085,2,0.27486128111988056,0.018665169593276867,100,0.8781586408615112,0.03641003191184396,1,0.2644850386158494,0.011935778682927159,200,1.4473514676094055,0.02782806812970709,1,0.31942879405390723,0.03979337536667301,30.0,0.2464216589927673,0.00859926130639673,2.0,0.2973822757585928,0.03181291305291517,50,0.9725151419639587,0.06631201654152279,2,0.2638443727754451,0.019483406522800086,100,0.7738743424415588,0.014543493361100352,1,0.25296245189290006,0.010066025674890646,200,1.5131442666053772,0.06031949930945795,1
