Dataset,Rows,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier,DODGE-30_mean,DODGE-30_std,DODGE-30_budget,DODGE-30_runtime_mean,DODGE-30_runtime_std,DODGE-30_tier,DODGE-50_mean,DODGE-50_std,DODGE-50_budget,DODGE-50_runtime_mean,DODGE-50_runtime_std,DODGE-50_tier,DODGE-100_mean,DODGE-100_std,DODGE-100_budget,DODGE-100_runtime_mean,DODGE-100_runtime_std,DODGE-100_tier,DODGE-200_mean,DODGE-200_std,DODGE-200_budget,DODGE-200_runtime_mean,DODGE-200_runtime_std,DODGE-200_tier
7z,68640,0.0084205862012108,0.004301518889755352,30,0.22321286201477047,0.012176955629523891,3,0.0073044326726545705,0.004765007934601902,50,0.34830689430236816,0.010513827725024188,3,0.003344763554443729,0.004137570758833069,100.0,0.7728093385696411,0.030329831933243855,1.0,0.0004278129808471799,0.00027988376321676364,200,1.4998996615409852,0.10778641805374385,1,0.00761281105164528,0.0039725952845965605,30,0.21328234672546387,0.04661949550864899,3,0.006545234473689064,0.004262160846878428,50,0.34559921026229856,0.006188812932256068,2,0.005427110627467715,0.0037259443848609445,100,0.48768541812896726,0.10863548950796337,2,0.005427110627467715,0.0037259443848609445,200,0.5340718507766724,0.11876110117792608,2
Apache_AllMeasurements,192,0.025294779683143698,0.013221561854259833,30,0.19961314201354977,0.007954036053093002,1,0.02206508878648593,0.000853773030865349,50,0.4363687515258789,0.07923832643904706,1,0.022020743548390693,0.0008226661473570817,100.0,1.3179023504257201,0.05973942764155971,1.0,0.022020743548390693,0.0008226661473570817,200,4.141569423675537,0.26013233779385175,1,0.030386168667253223,0.01590837792751356,30,0.18014155626296993,0.007600395909683432,2,0.02270050126752335,0.0013085270139905675,50,0.27320587635040283,0.012076043657286185,1,0.022576737091884156,0.0011954691478420856,100,0.47441376447677613,0.06802743261379876,1,0.022576737091884156,0.0011954691478420856,200,0.46501253843307494,0.09687289788781998,1
BDBC,2560,0.00245176131395851,0.0019692394896363343,30,0.18861150741577143,0.01221276489620507,2,0.0011514918925888049,0.0009547449580947085,50,0.31832185983657835,0.014081957863962175,1,0.000494435781696925,0.0006005866950145281,100.0,0.7144157409667968,0.03738161135927887,1.0,0.00022395542832407003,4.411407475686552e-05,200,1.733615469932556,0.13068677560790684,1,0.004002435413847196,0.0029485669051773976,30,0.18123025894165037,0.0019499497439063112,3,0.0026413458449089404,0.0015100020316189712,50,0.2920470595359802,0.007734468198267369,2,0.0020330937945305,0.0015429539004426082,100,0.40515812635421755,0.10785298138614746,2,0.0020330937945305,0.0015429539004426082,200,0.49757373332977295,0.14332628006476197,2
FFM-1000-200-0.50-SAT-1,10000,0.3109832176408992,0.028308079177678556,30,0.6451858162879944,0.0650308788716366,2,0.28601854848451913,0.021436815686644243,50,1.3740798592567445,0.19415922557703705,2,0.25075953071800544,0.01694296906231501,100.0,3.6330779671669005,0.3830062369086974,1.0,0.24354472727997178,0.012665141398980367,200,10.405868709087372,1.340082583631304,1,0.34442651855589895,0.03669258657814968,30,0.5342750787734986,0.03961712612315355,3,0.3294254104222328,0.026233243947529607,50,0.9266406536102295,0.12311281902835583,3,0.3057074603252999,0.024689545997240447,100,1.7057711124420165,0.11456391320718544,2,0.29281219932313,0.022321009922739877,200,3.1586636304855347,0.08799348550507245,2
FFM-125-25-0.50-SAT-1,10000,0.2749631785334886,0.03575084521355447,30,0.25263588428497313,0.01794091766659239,2,0.247649884568148,0.029329898906616567,50,0.49351729154586793,0.06944263186000872,1,0.2218301319781018,0.009279132225153268,100.0,1.0307631969451905,0.07634567053329258,1.0,0.21598198023414997,0.0060469390449084375,200,2.1184589147567747,0.13358557702470913,1,0.29259447458625276,0.042442216546394476,30,0.4174623370170593,0.003781203644054259,3,0.268680045067425,0.03198808359945295,50,0.6390948295593262,0.0724523205697264,2,0.2594554020668903,0.024193969368836592,100,1.541446900367737,0.10043233189564488,2,0.24560799898831315,0.02400040819503665,200,3.139976441860199,0.18685735197693187,1
FFM-250-50-0.50-SAT-1,10000,0.37597492500084656,0.018983865489470852,30,0.2691465377807617,0.01320969728253637,2,0.36500793879522336,0.012857170476799167,50,0.4759699463844299,0.03480095426941726,1,0.3537881275503429,0.009365260290303552,100.0,1.086215329170227,0.06428106852211095,1.0,0.3452630582096135,0.006429601360481695,200,2.847389853000641,0.22611196725208588,1,0.399555910956202,0.021609746518316434,30,0.42850546836853026,0.005843457720767658,3,0.3872521942687682,0.018434249832946555,50,0.5880829215049743,0.0033204054069167033,2,0.378644560102394,0.015666896885637212,100,1.395103967189789,0.09716742399743865,2,0.3700279316533608,0.014145575065252013,200,2.62131929397583,0.19949084324029814,1
FFM-500-100-0.50-SAT-1,10000,0.3556477121429194,0.03219613775141756,30,0.3054823040962219,0.020868129885974907,2,0.3398229197325039,0.027138615194993117,50,0.5795855402946473,0.05046878915193469,2,0.3118171997887925,0.027275932629384686,100.0,1.4236289978027343,0.19350328452072418,1.0,0.2850733825080389,0.01489292940839134,200,3.6226044654846192,0.3816339703036736,1,0.38760670733984215,0.03335755607141762,30,0.22668278217315674,0.0014465077265230176,3,0.36956385221527394,0.030110713560668866,50,0.4467311382293701,0.010896787533699012,3,0.35725206965775386,0.027871511418979013,100,0.7730286359786988,0.03120979761842786,2,0.3465782650361972,0.01784381214484173,200,4.081849825382233,0.07546363813911583,2
FM-500-100-0.25-SAT-1,10000,0.35143824647645683,0.018473325959187787,30,0.3618364453315735,0.03492302326408627,1,0.3440036144295072,0.013791236750706962,50,0.6470240712165832,0.08347330147666833,1,0.33479810620960915,0.00760670459054172,100.0,1.6272485613822938,0.2349625667968058,1.0,0.3285579740189665,0.0057710172564339355,200,4.446436071395874,0.47532363875382944,1,0.37943010233528285,0.025618973645748014,30,0.32966712713241575,0.0300831350326488,3,0.3684085178838649,0.018100982424279318,50,0.6584989428520203,0.020665597225949857,2,0.358148557591898,0.010627399458106139,100,2.033587169647217,0.04743235262683754,2,0.35209063659373696,0.010981830688125784,200,4.223419642448425,0.02089420667222179,1
FM-500-100-0.50-SAT-1,10000,0.3431067359663923,0.026515627622769218,30,0.3165653824806213,0.028824022556163943,2,0.3249237175891011,0.014953933608038712,50,0.733456289768219,0.08761396814382362,1,0.3149105476847415,0.011068562405872987,100.0,1.805645728111267,0.20893740678715328,1.0,0.30439941103621193,0.009940021698673956,200,3.580571138858795,0.2440860197975407,1,0.36978387397522783,0.03358612452405695,30,0.22463055849075314,0.002173831915176472,3,0.355370482568845,0.03341803790819428,50,0.3807670116424561,0.002848165657276366,2,0.33676524480200876,0.02565999339841847,100,2.0193328499794005,0.0638335432281771,1,0.3284654190371584,0.01976696420239261,200,1.6829780459403991,0.01623074417441533,1
FM-500-100-0.75-SAT-1,10000,0.31432796142099073,0.026209455128576815,30,0.33726183176040647,0.029573206201082308,2,0.28774231496468866,0.022920117840131933,50,1.1428725957870483,0.07421639770330597,1,0.2670259635573448,0.015626630165139044,100.0,1.5175358414649964,0.17675127663443108,1.0,0.25217136788265293,0.007075697889745677,200,4.659865689277649,0.5150145114744562,1,0.34809465255778743,0.020394572018585806,30,0.22000935077667233,0.00232001142581897,3,0.3409468323131648,0.018689276896710048,50,0.8777999639511108,0.08639216766364588,3,0.32525271847687864,0.020378375998723056,100,0.7427115082740784,0.007830026716773669,2,0.306252308121166,0.01969190274135772,200,4.928452754020691,0.050451213687372654,2
