key,display,n,tier1,tier1_pct,tier1_2,tier1_2_pct,tier3plus,tier3plus_pct,mean_d2h,rt_per_iter_ms,rt_total_s,budget
DE-100,DE-100,106,8,7.547169811320755,14,13.20754716981132,92,86.79245283018868,0.30982665370547846,19.23031324148178,1.923031324148178,100
DE-200,DE-200,106,26,24.528301886792452,38,35.84905660377358,68,64.15094339622641,0.28605314352775285,20.05641806125641,4.011283612251281,200
EZR-100,EZR-100,106,14,13.20754716981132,35,33.0188679245283,71,66.98113207547169,0.33320933005534614,14.768091380596161,1.476809138059616,100
EZR-200,EZR-200,106,48,45.283018867924525,72,67.9245283018868,34,32.075471698113205,0.31634983000394945,14.108381539583206,2.821676307916641,200
GA-100,GA-100,106,8,7.547169811320755,13,12.264150943396226,93,87.73584905660377,0.3160741895799476,12.330226182937622,1.233022618293762,100
GA-200,GA-200,106,15,14.150943396226415,22,20.754716981132077,84,79.24528301886792,0.30040326259178884,12.296541303396225,2.4593082606792454,200
HILL-100,HILL-100,106,11,10.377358490566039,11,10.377358490566039,95,89.62264150943396,0.32478172468391936,13.467081785202026,1.3467081785202026,100
HILL-200,HILL-200,106,17,16.037735849056602,27,25.471698113207548,79,74.52830188679245,0.30875676923768386,11.180737346410751,2.2361474692821504,200
ONEPLUSONE-100,ONEPLUSONE-100,106,8,7.547169811320755,8,7.547169811320755,98,92.45283018867924,0.3800769003021729,18.253435909748077,1.8253435909748075,100
ONEPLUSONE-200,ONEPLUSONE-200,106,10,9.433962264150944,14,13.20754716981132,92,86.79245283018868,0.3424453826351073,15.388972342014313,3.0777944684028626,200
Random-100,Random-100,106,8,7.547169811320755,8,7.547169811320755,98,92.45283018867924,inf,18.00912046432495,1.800912046432495,100
Random-200,Random-200,106,8,7.547169811320755,8,7.547169811320755,98,92.45283018867924,inf,8.398320615291595,1.6796641230583194,200
TS-100,TS-100,106,10,9.433962264150944,14,13.20754716981132,92,86.79245283018868,0.4271910007835328,8.811395585536957,0.8811395585536956,100
TS-200,TS-200,106,19,17.92452830188679,24,22.641509433962263,82,77.35849056603773,0.4156339595813512,7.0044505298137665,1.4008901059627532,200
