Dataset,Rows,TS-30_mean,TS-30_std,TS-30_budget,TS-30_runtime_mean,TS-30_runtime_std,TS-30_tier,TS-50_mean,TS-50_std,TS-50_budget,TS-50_runtime_mean,TS-50_runtime_std,TS-50_tier,TS-100_mean,TS-100_std,TS-100_budget,TS-100_runtime_mean,TS-100_runtime_std,TS-100_tier,TS-200_mean,TS-200_std,TS-200_budget,TS-200_runtime_mean,TS-200_runtime_std,TS-200_tier,HILL-30_mean,HILL-30_std,HILL-30_budget,HILL-30_runtime_mean,HILL-30_runtime_std,HILL-30_tier,HILL-50_mean,HILL-50_std,HILL-50_budget,HILL-50_runtime_mean,HILL-50_runtime_std,HILL-50_tier,HILL-100_mean,HILL-100_std,HILL-100_budget,HILL-100_runtime_mean,HILL-100_runtime_std,HILL-100_tier,HILL-200_mean,HILL-200_std,HILL-200_budget,HILL-200_runtime_mean,HILL-200_runtime_std,HILL-200_tier
7z,68640,0.02358863250310075,0.026378378844606865,30.0,0.18885197639465331,0.005033153316623921,1.0,0.02174382796344993,0.02588607361294645,50,0.3321207284927368,0.00853637855257162,1,0.012898473311918901,0.017258528045997146,100,0.6649626851081848,0.012587148249733152,1,0.008415451127706065,0.007080292227552825,200,1.3073880434036256,0.03471091061314646,1,0.035837529922078074,0.03728166325772578,30,0.13573800325393673,0.017141055013494666,2,0.031159988653305326,0.036760991979839404,50,0.22125452756881708,0.01711001702836043,2,0.019508570342233706,0.026868071479074832,100,0.3799236536026001,0.038460576133095795,1,0.0158994272799582,0.02295166353487579,200,0.6285104870796203,0.06735914955405398,1
Apache_AllMeasurements,192,0.02916692397575623,0.017058453903882612,30.0,0.1583100914955139,0.011841950257904743,1.0,0.02223062549514762,0.0010064009405496071,50,0.23546171188354487,0.017951505399317755,1,0.022079682132954276,0.0008660071921179725,100,0.44220685958862305,0.02057724639044944,1,0.022020743548390693,0.0008226661473570817,200,0.6544271826744079,0.033811588167909475,1,0.04108010830980456,0.03899020812397057,30,0.09003757238388058,0.014710270598150058,2,0.02581538830994723,0.011219516681800604,50,0.14026809930801393,0.01852098957650325,1,0.022020743548390693,0.0008226661473570817,100,0.22293242216110226,0.03308167466002421,1,0.022020743548390693,0.0008226661473570817,200,0.2713825225830078,0.03544957239633791,1
BDBC,2560,0.0028488819518176604,0.0016939402802369115,30.0,0.16250936985015865,0.005577241823989533,2.0,0.0016855160957063749,0.0011716703840685516,50,0.2526730179786682,0.005610045230089563,1,0.00041037054818518,0.0004294138458931701,100,0.5305193901062012,0.010567035760842917,1,0.00024848175711157,0.00013471065030409217,200,1.2639401316642762,0.012541815143372992,1,0.0027806228577027404,0.0019027063579523315,30,0.12847923040390014,0.0123879874436748,2,0.0015185021854873548,0.0012635325780730531,50,0.19917111396789547,0.013692080012129706,1,0.0012187198862434001,0.000984433153395427,100,0.43675646781921384,0.030274921417190025,1,0.0009678765384782599,0.0009677136817638986,200,0.8679541349411011,0.08004414227369447,1
FFM-1000-200-0.50-SAT-1,10000,0.3121279072323543,0.044033802961684895,30.0,0.2656076192855835,0.004834577779463733,3.0,0.2836890711356176,0.028259674410664126,50,0.45048166513442994,0.01918486998580913,2,0.26589001852965993,0.020943031406873598,100,1.625693106651306,0.0535907090059585,1,0.24691524158173644,0.01300747208705628,200,1.7108981013298035,0.07081756790278525,1,0.33118324570832847,0.0444146608290683,30,0.1930392503738403,0.020804953959634033,3,0.28707817942971037,0.03838699716733336,50,0.3170810341835022,0.02333898542962929,2,0.25198470299000203,0.018541795422987655,100,1.1011614680290223,0.09148305935694862,1,0.23535626028201997,0.0025466178789480126,200,1.0704511404037476,0.11015788209128126,1
FFM-125-25-0.50-SAT-1,10000,0.2688279445192666,0.03687972460918409,30.0,0.3073256492614746,0.0014073225759480793,2.0,0.238999202712052,0.025257705369852532,50,0.5166365265846252,0.00251859994261071,1,0.2254710656258943,0.01648526092874271,100,1.0522743821144105,0.0361362861431551,1,0.2159108050021709,0.008517841012079653,200,1.4956228733062744,0.19991876104102285,1,0.25553530066275776,0.04169640918211154,30,0.2873725056648254,0.013066851495211194,2,0.22774076322537667,0.01552765724771265,50,0.46724299192428587,0.017422111404830947,1,0.21581028400547683,0.0054861233853545615,100,0.7521165609359741,0.13705426436310636,1,0.2114696286192828,0.0036082849091400417,200,1.322186040878296,0.180502644902126,1
FFM-250-50-0.50-SAT-1,10000,0.38089993665186506,0.023447163342088816,30.0,0.21521742343902583,0.004322341398260364,2.0,0.36286414840729425,0.010482881881571322,50,0.3573944687843323,0.007228177043605572,1,0.35497455742010053,0.008995475003004285,100,0.7126262068748475,0.012360637810981795,1,0.3473882969139572,0.007432782324397576,200,3.9942614793777467,0.14318173927965452,1,0.3928959352878023,0.03975543211875326,30,0.15964604616165157,0.018375727794234874,2,0.3647091445453315,0.02005864035204564,50,0.25769810676574706,0.021732790038056646,1,0.3501188594196695,0.00938565481867479,100,1.258537769317627,0.14222272273102043,1,0.34367033567494876,0.0063449630209744525,200,0.8370816469192505,0.08209581000699541,1
FFM-500-100-0.50-SAT-1,10000,0.37067363852214663,0.043838445933600555,30.0,0.23830893039703366,0.0030246054264296577,3.0,0.33733894815920873,0.03209974702222371,50,0.39749462604522706,0.004711113353452768,2,0.30189900116272056,0.02336665385830855,100,0.7896178960800171,0.039692411968371206,1,0.28379547940716066,0.01409031825699021,200,4.246273255348205,0.18109339230996627,1,0.3699341528507388,0.05597074585518524,30,0.19489282369613642,0.014209372375631416,3,0.3272753808629059,0.03789216086015619,50,0.3145274519920349,0.02094056552407946,2,0.2867676048995283,0.021869627279689215,100,0.645179009437561,0.03820140848135919,1,0.27575031185347254,0.010942748677606282,200,3.1690598368644713,0.18854756327147504,1
FM-500-100-0.25-SAT-1,10000,0.3668062565061885,0.03245539683245661,30.0,0.2516839623451233,0.004449909535083212,2.0,0.3449536156626085,0.01862617307358455,50,0.39050381183624266,0.002308650197473601,1,0.33241866568128864,0.007898713941554359,100,0.7779011726379395,0.00616412303795421,1,0.3273898396308697,0.006387349715751135,200,4.3896474719047545,0.1463225018123769,1,0.3716328732988823,0.030766930891961912,30,0.2145808100700378,0.012979265137921425,2,0.34475590845458376,0.01733597642103284,50,0.3358438968658447,0.017594841774725166,1,0.32602530462062285,0.009922223148337187,100,1.7445981621742248,0.08404040701509775,1,0.31824205893860535,0.002799862675001764,200,1.3568606972694397,0.06366360454586042,1
FM-500-100-0.50-SAT-1,10000,0.3507695185152116,0.031505230278484786,30.0,0.2822591304779053,0.007048101012843501,3.0,0.33176058231487454,0.023033925054276164,50,0.39077234268188477,0.0042142051383501685,2,0.31707187749565197,0.01704618152657665,100,0.9822817802429199,0.0912202952341244,1,0.3049417601424443,0.01109653944605403,200,1.5713937997817993,0.014727332068090319,1,0.34732232685423575,0.03266715086070988,30,0.1988442778587341,0.014371994604113794,3,0.33088277303011193,0.031952463611390904,50,0.39967072010040283,0.023287353487941045,2,0.3026913641800944,0.024423985925769623,100,0.7832722306251526,0.06497945283499247,1,0.27659671136984254,0.017426051091852645,200,1.186835026741028,0.06643629654274952,1
FM-500-100-0.75-SAT-1,10000,0.31942879405390723,0.03979337536667301,30.0,0.2464216589927673,0.00859926130639673,3.0,0.2973822757585928,0.03181291305291517,50,0.9725151419639587,0.06631201654152279,2,0.2638443727754451,0.019483406522800086,100,0.7738743424415588,0.014543493361100352,1,0.25296245189290006,0.010066025674890646,200,1.5131442666053772,0.06031949930945795,1,0.3349915637766919,0.04487747448243839,30,0.17021046876907348,0.01885433692561755,3,0.29042087020517554,0.02767452687733965,50,0.298212993144989,0.023509368398056917,2,0.26329409850894725,0.014795114555338336,100,1.4336918115615844,0.13527902249940024,1,0.24790171752354725,0.006446016128870644,200,0.9167568564414978,0.06830647843385593,1
