Dataset,Rows,SMSEMOA-30_mean,SMSEMOA-30_std,SMSEMOA-30_budget,SMSEMOA-30_runtime_mean,SMSEMOA-30_runtime_std,SMSEMOA-30_tier,SMSEMOA-50_mean,SMSEMOA-50_std,SMSEMOA-50_budget,SMSEMOA-50_runtime_mean,SMSEMOA-50_runtime_std,SMSEMOA-50_tier,SMSEMOA-100_mean,SMSEMOA-100_std,SMSEMOA-100_budget,SMSEMOA-100_runtime_mean,SMSEMOA-100_runtime_std,SMSEMOA-100_tier,SMSEMOA-200_mean,SMSEMOA-200_std,SMSEMOA-200_budget,SMSEMOA-200_runtime_mean,SMSEMOA-200_runtime_std,SMSEMOA-200_tier,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier
7z,68640,inf,nan,30,0.14138274192810055,0.00591924639580181,5,inf,nan,50.0,0.26420111656188966,0.005684324202802368,5.0,inf,nan,100,0.758294653892517,0.03608036984509177,5,inf,nan,200.0,1.3425384759902954,0.007328430781127565,5.0,0.5290769968242153,0.2989251123336733,30,0.3659201145172119,0.005239492795263418,4,0.4248632317284938,0.2644232470024072,50,0.8233722805976867,0.06142693035910097,3,0.21160792090812733,0.2791467830086527,100,1.916490614414215,0.0941710354198205,2,0.16203743563636366,0.2568629731125797,200.0,6.067609763145446,0.2015113950282095,1.0
Apache_AllMeasurements,192,inf,nan,30,0.12587550878524775,0.023231325960392752,5,inf,nan,50.0,0.2547908663749695,0.022804801336050326,5.0,inf,nan,100,0.6102309346199035,0.02796512566822036,5,inf,nan,200.0,1.266127347946167,0.023845424984817513,5.0,0.1871251652140429,0.06090718193664869,30,0.38913353681564333,0.00907819224120202,4,0.14627627031708684,0.029320902174393548,50,0.6074115753173828,0.04086592778844443,3,0.1279002366673216,0.003554415757630386,100,1.4614127159118653,0.06822685169876137,2,0.12581982696128688,0.0024446045509955074,200.0,4.505648303031921,0.09629092753649346,1.0
BDBC,2560,inf,nan,30,0.10835881233215328,0.006457081099678913,5,inf,nan,50.0,0.21405749320983883,0.008240679339983938,5.0,inf,nan,100,0.6663829922676087,0.009699433776308365,5,inf,nan,200.0,1.156213629245758,0.0644975237834876,5.0,0.002255981731855115,0.0011171431824303,30,0.36389353275299074,0.008105054340952588,4,0.0016298143091834898,0.00040882171538899107,50,0.6707472205162048,0.03589034902880012,3,0.0012515210462915648,0.0001941815415370403,100,2.1062338829040526,0.07904461788779149,2,0.001101483592852615,9.932512407520915e-05,200.0,6.70971896648407,0.16498029312120516,1.0
FFM-1000-200-0.50-SAT-1,10000,0.40879403330802705,0.022428227372095103,30,0.32686800956726075,0.03427208105410127,3,nan,nan,nan,nan,nan,nan,0.37934952830875834,0.015782995395168455,100,1.676653015613556,0.1876232825155098,1,0.35864346293499433,0.009575700100561278,200.0,3.2787248849868775,0.3085634983071724,1.0,0.3992519329053726,0.027782641830489712,30,0.6261739134788513,0.054531068704680524,3,0.38582138142436073,0.022599708131010345,50,1.168670392036438,0.12448396878158194,2,0.3678072644802851,0.016679708132228382,100,2.781215989589691,0.3774325444386631,1,0.356646861880915,0.007546923976961065,200.0,7.200844657421112,0.6263624613827427,1.0
FFM-125-25-0.50-SAT-1,10000,0.43258669353864365,0.031027567663797623,30,0.26666951179504395,0.011045768212413074,3,0.41230157712058785,0.03507819766129585,50.0,0.6254161238670349,0.022289825464841942,2.0,0.37295503537370395,0.0245946968537219,100,1.429568350315094,0.1551644840955049,1,0.33476730627778845,0.024592182454443716,200.0,2.906801700592041,0.22833106629795016,1.0,0.41634812533886584,0.03792226066444052,30,0.8309306144714356,0.05382061525752447,2,0.3972182639574424,0.03836765833615364,50,1.2697314023971558,0.13133217138374698,2,0.3573263032076014,0.030744136217953296,100,3.295596992969513,0.26585177316937175,1,0.3210227705665337,0.02559011094778813,200.0,9.638166153430939,0.7088099708916364,1.0
FFM-250-50-0.50-SAT-1,10000,0.4089986211063117,0.028798927926919814,30,0.3292339205741882,0.021686185932973837,3,0.39623101539010086,0.02798315754987525,50.0,0.5839658737182617,0.07466700735033467,2.0,0.3712881809038967,0.019856186328748176,100,1.6114814639091493,0.10419803264528618,1,0.3501824535517767,0.007313899981242313,200.0,3.1181415200233458,0.19300805795543555,1.0,0.41099970943492936,0.03170045385427475,30,0.6762793660163879,0.023076295910661695,3,0.3946241053698766,0.03202245537250197,50,1.0089051485061646,0.09983433859399121,2,0.3695745868785075,0.020387027640408957,100,2.9183309674263,0.5952523114052225,1,0.3496637640265557,0.004839536756840369,200.0,5.76952805519104,0.30044926874859224,1.0
FFM-500-100-0.50-SAT-1,10000,0.35564123811465664,0.04294653263151736,30,0.2794818639755249,0.01879502105013051,3,0.32657609822476935,0.04524697243189488,50.0,0.30132403373718264,0.017664840736524176,2.0,0.28818004217937054,0.02287859412881319,100,1.315822470188141,0.025757282445944024,1,0.27170307448555603,0.012891022432292525,200.0,2.902783179283142,0.18978867137979288,1.0,0.3577672351505857,0.03519619807976149,30,0.5288855075836182,0.04826520175043294,3,0.33308157159605933,0.036038327821400054,50,0.8270600080490113,0.06684810578549392,2,0.29009066823769863,0.024803782751632936,100,2.3144184589385985,0.1082199310717475,1,0.2663714504537677,0.007816826217675788,200.0,6.371483600139618,0.17304617935465183,1.0
FM-500-100-0.25-SAT-1,10000,0.4322658815186188,0.02994866181224315,30,0.15172294378280635,0.01484042766583415,2,0.4262526314343377,0.026879398261566968,50.0,0.3094189286231995,0.046885708613902885,2.0,0.3915116310391984,0.03107023913580087,100,0.7455301523208618,0.01582106779256261,1,0.3553182928058973,0.02056390278907632,200.0,1.5360036015510559,0.060174368117465495,1.0,0.4330597659224381,0.03371560648671286,30,0.3977601408958435,0.05348659010655483,2,0.4182322123069541,0.02803897760536461,50,0.6254493355751037,0.01749432104061286,2,0.3872145811923117,0.019927175025773413,100,1.8039448618888856,0.11672326117664521,1,0.3452869948498838,0.019586555977781552,200.0,4.65161257982254,0.14472972384701746,1.0
FM-500-100-0.50-SAT-1,10000,0.4236621215509849,0.0277426524653947,30,0.16470330953598017,0.014622152875041237,4,0.4081454967919355,0.02659622538640924,50.0,0.2995789647102356,0.021828145070190944,3.0,0.3682899259523082,0.031570711261815945,100,0.7525829195976257,0.01939067581463336,2,0.32570941098657624,0.03333597077424772,200.0,1.4868138194084168,0.055585751853042493,1.0,0.39518810609514776,0.03284352136202374,30,0.35845805406570436,0.02324594944688703,3,0.3788559978088639,0.024183316623646384,50,0.6227089881896972,0.025822323456768166,2,0.3553861971254827,0.03437048385602567,100,1.5119075536727906,0.08301286488336596,1,0.3061177689037317,0.03524022113707375,200.0,6.424516677856445,0.24521128995684388,1.0
FM-500-100-0.75-SAT-1,10000,0.3771876740955923,0.03354680766147795,30,0.15787619352340693,0.017799398089433666,3,0.3572229001396695,0.03313057026165287,50.0,0.3006957769393921,0.025838018327600458,2.0,0.2966936150926759,0.03997583229322306,100,0.7397207140922546,0.01927451669169542,1,0.2581847956092612,0.018576907041825148,200.0,1.4967351317405702,0.03782439510755424,1.0,0.36073508557612444,0.03662680743511507,30,0.3232827067375183,0.02725745033000194,2,0.3431788427013974,0.033454729199185365,50,0.5667073011398316,0.050445924478168876,2,0.30228765498540766,0.029541705685854576,100,3.3962867140769957,0.17167828791531448,1,0.2581873791132677,0.017409345995482363,200.0,4.252852582931519,0.11139244391330497,1.0
