Dataset,Rows,NSGA2-30_mean,NSGA2-30_std,NSGA2-30_budget,NSGA2-30_runtime_mean,NSGA2-30_runtime_std,NSGA2-30_tier,NSGA2-50_mean,NSGA2-50_std,NSGA2-50_budget,NSGA2-50_runtime_mean,NSGA2-50_runtime_std,NSGA2-50_tier,NSGA2-100_mean,NSGA2-100_std,NSGA2-100_budget,NSGA2-100_runtime_mean,NSGA2-100_runtime_std,NSGA2-100_tier,NSGA2-200_mean,NSGA2-200_std,NSGA2-200_budget,NSGA2-200_runtime_mean,NSGA2-200_runtime_std,NSGA2-200_tier,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier
7z,68640,inf,nan,30,8.141994476318359e-06,3.560999807952209e-06,5,inf,nan,50,6.568431854248047e-06,3.8548562626673655e-06,5,inf,nan,100,5.972385406494141e-06,3.2122308159184315e-06,5,inf,nan,200,6.532669067382812e-06,3.144386231224736e-06,5,0.5290769968242153,0.2989251123336733,30,0.3659201145172119,0.005239492795263418,4,0.4248632317284938,0.2644232470024072,50,0.8233722805976867,0.06142693035910097,3,0.21160792090812733,0.2791467830086527,100,1.916490614414215,0.0941710354198205,2,0.16203743563636366,0.2568629731125797,200.0,6.067609763145446,0.2015113950282095,1.0
Apache_AllMeasurements,192,inf,nan,30,4.780292510986328e-06,8.869515203463539e-07,5,inf,nan,50,5.292892456054687e-06,2.8887045346948543e-06,5,inf,nan,100,5.030632019042969e-06,7.614478789649636e-07,5,inf,nan,200,3.6478042602539064e-06,2.0670824954510927e-06,5,0.1871251652140429,0.06090718193664869,30,0.38913353681564333,0.00907819224120202,4,0.14627627031708684,0.029320902174393548,50,0.6074115753173828,0.04086592778844443,3,0.1279002366673216,0.003554415757630386,100,1.4614127159118653,0.06822685169876137,2,0.12581982696128688,0.0024446045509955074,200.0,4.505648303031921,0.09629092753649346,1.0
BDBC,2560,inf,nan,30,5.221366882324218e-06,1.6461880816652866e-06,5,inf,nan,50,5.1140785217285155e-06,2.6418977831069415e-06,5,inf,nan,100,4.6372413635253905e-06,2.8552396362215313e-06,5,inf,nan,200,4.434585571289063e-06,2.7418409385458947e-06,5,0.002255981731855115,0.0011171431824303,30,0.36389353275299074,0.008105054340952588,4,0.0016298143091834898,0.00040882171538899107,50,0.6707472205162048,0.03589034902880012,3,0.0012515210462915648,0.0001941815415370403,100,2.1062338829040526,0.07904461788779149,2,0.001101483592852615,9.932512407520915e-05,200.0,6.70971896648407,0.16498029312120516,1.0
FFM-1000-200-0.50-SAT-1,10000,0.34442651855589895,0.03669258657814968,30,0.6954844117164611,0.14370310989885965,2,0.3294254104222328,0.026233243947529607,50,1.24627343416214,0.16715695275678022,1,0.3057074603252999,0.024689545997240447,100,2.6755979895591735,0.170994027477349,1,0.28615791477027,0.020460544531459134,200,7.441530930995941,0.5595159023776356,1,0.3992519329053726,0.027782641830489712,30,0.6261739134788513,0.054531068704680524,3,0.38582138142436073,0.022599708131010345,50,1.168670392036438,0.12448396878158194,3,0.3678072644802851,0.016679708132228382,100,2.781215989589691,0.3774325444386631,2,0.356646861880915,0.007546923976961065,200.0,7.200844657421112,0.6263624613827427,2.0
FFM-125-25-0.50-SAT-1,10000,0.29259447458625276,0.042442216546394476,30,0.7691832065582276,0.058735735503898934,1,0.268680045067425,0.03198808359945295,50,1.1592081427574157,0.14574700529840134,1,0.2594554020668903,0.024193969368836592,100,3.9428395509719847,0.3252678289817206,1,0.2449000085282793,0.02031682162982904,200,10.570190727710724,1.604817955068752,1,0.41634812533886584,0.03792226066444052,30,0.8309306144714356,0.05382061525752447,3,0.3972182639574424,0.03836765833615364,50,1.2697314023971558,0.13133217138374698,3,0.3573263032076014,0.030744136217953296,100,3.295596992969513,0.26585177316937175,2,0.3210227705665337,0.02559011094778813,200.0,9.638166153430939,0.7088099708916364,1.0
FFM-250-50-0.50-SAT-1,10000,0.399555910956202,0.021609746518316434,30,0.4697692632675171,0.003186810004123827,2,0.3872521942687682,0.018434249832946555,50,0.737042248249054,0.06469620486629023,2,0.378644560102394,0.015666896885637212,100,2.5809151411056517,0.28488192438910426,1,0.37020229269764515,0.014036585281784496,200,6.028120851516723,0.15477729159354048,1,0.41099970943492936,0.03170045385427475,30,0.6762793660163879,0.023076295910661695,3,0.3946241053698766,0.03202245537250197,50,1.0089051485061646,0.09983433859399121,2,0.3695745868785075,0.020387027640408957,100,2.9183309674263,0.5952523114052225,1,0.3496637640265557,0.004839536756840369,200.0,5.76952805519104,0.30044926874859224,1.0
FFM-500-100-0.50-SAT-1,10000,0.38760670733984215,0.03335755607141762,30,0.35695658922195433,0.00694283035687514,4,0.36956385221527394,0.030110713560668866,50,0.5980511903762817,0.0034892086129561383,3,0.35725206965775386,0.027871511418979013,100,1.7637289047241211,0.11764293459426363,3,0.33439087887473173,0.012096203208717906,200,4.409252548217774,0.16620380851648817,2,0.3577672351505857,0.03519619807976149,30,0.5288855075836182,0.04826520175043294,3,0.33308157159605933,0.036038327821400054,50,0.8270600080490113,0.06684810578549392,2,0.29009066823769863,0.024803782751632936,100,2.3144184589385985,0.1082199310717475,1,0.2663714504537677,0.007816826217675788,200.0,6.371483600139618,0.17304617935465183,1.0
FM-500-100-0.25-SAT-1,10000,0.37943010233528285,0.025618973645748014,30,0.5921401977539062,0.06947767215028496,1,0.3684085178838649,0.018100982424279318,50,0.6507107377052307,0.051408409649120225,1,0.358148557591898,0.010627399458106139,100,1.633362340927124,0.09052327972840074,1,0.3527880639443675,0.011195435859666515,200,6.935920798778534,0.18278656316269903,1,0.4330597659224381,0.03371560648671286,30,0.3977601408958435,0.05348659010655483,2,0.4182322123069541,0.02803897760536461,50,0.6254493355751037,0.01749432104061286,2,0.3872145811923117,0.019927175025773413,100,1.8039448618888856,0.11672326117664521,1,0.3452869948498838,0.019586555977781552,200.0,4.65161257982254,0.14472972384701746,1.0
FM-500-100-0.50-SAT-1,10000,0.36978387397522783,0.03358612452405695,30,0.34247187376022337,0.05074956463929958,2,0.355370482568845,0.03341803790819428,50,0.6135926485061646,0.002947261165691251,2,0.33676524480200876,0.02565999339841847,100,1.6822790503501892,0.12773127640508658,1,0.3235222356143674,0.013026476515186415,200,5.39448174238205,0.09020735415933254,1,0.39518810609514776,0.03284352136202374,30,0.35845805406570436,0.02324594944688703,3,0.3788559978088639,0.024183316623646384,50,0.6227089881896972,0.025822323456768166,3,0.3553861971254827,0.03437048385602567,100,1.5119075536727906,0.08301286488336596,2,0.3061177689037317,0.03524022113707375,200.0,6.424516677856445,0.24521128995684388,1.0
FM-500-100-0.75-SAT-1,10000,0.34809465255778743,0.020394572018585806,30,0.3366902589797974,0.010870783590308915,3,0.3409468323131648,0.018689276896710048,50,0.6390412449836731,0.06628903934011338,3,0.32525271847687864,0.020378375998723056,100,1.4364370346069335,0.09525962636965407,2,0.31085146972695843,0.02217670910252104,200,3.801566207408905,0.08970227062230754,1,0.36073508557612444,0.03662680743511507,30,0.3232827067375183,0.02725745033000194,4,0.3431788427013974,0.033454729199185365,50,0.5667073011398316,0.050445924478168876,3,0.30228765498540766,0.029541705685854576,100,3.3962867140769957,0.17167828791531448,1,0.2581873791132677,0.017409345995482363,200.0,4.252852582931519,0.11139244391330497,1.0
FM-500-100-1.00-SAT-1,10000,0.35570440342300946,0.03228423990143144,30,0.4016441941261292,0.00734650176624962,2,0.3430415891365786,0.023026701290633795,50,0.595944857597351,0.067703405336653,2,0.3298092565625273,0.02130774480080656,100,1.8769739389419555,0.16992191814132782,1,0.3205997772838111,0.01632910153875477,200,3.9812150597572327,0.1557569352130158,1,0.3712783273243816,0.028796651016735744,30,0.3575023651123047,0.02364286665104325,3,0.3622180980243441,0.025909399166684974,50,0.6636637091636658,0.07125418513632042,3,0.328820545927011,0.014910903965295033,100,1.3928254008293153,0.08955969979061314,1,0.31113085336883056,0.006660371212804058,200.0,3.8350616812705995,0.08491947010225079,1.0
HSMGP_num,3456,inf,nan,30,4.00543212890625e-06,3.7578054697628606e-07,5,inf,nan,50,3.445148468017578e-06,1.8099657404810145e-07,5,inf,nan,100,3.159046173095703e-06,1.1286015002272552e-06,5,inf,nan,200,4.100799560546875e-06,2.955661677398137e-07,5,0.18032338859005778,0.06897186188257533,30,0.3663637042045593,0.008811182871249866,4,0.15606863690735268,0.07160760555301963,50,0.3918822169303894,0.03288791607144313,3,0.11523302361753807,0.044807602916720285,100,1.6840409755706787,0.17507896912032017,2,0.0666483020681304,0.05526242106826809,200.0,5.157751882076264,0.3041031067789627,1.0
