Dataset,Rows,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier
7z,68640,0.00932170544100422,0.003054490274636091,30.0,0.20921254158020014,0.002323992265920239,2.0,0.0071801664120746955,0.0036029200864199063,50,0.2800907015800476,0.019528949363477335,2,0.004859534480090935,0.00430819519129115,100,0.6757609844207764,0.009764335395197356,1,0.004055395344007278,0.004712122802427343,200,1.571783983707428,0.11428708805564511,1,0.0084205862012108,0.004301518889755352,30,0.22321286201477047,0.012176955629523891,2,0.0073044326726545705,0.004765007934601902,50,0.34830689430236816,0.010513827725024188,2,0.003344763554443729,0.004137570758833069,100.0,0.7728093385696411,0.030329831933243855,1.0,0.0004278129808471799,0.00027988376321676364,200,1.4998996615409852,0.10778641805374385,1
Apache_AllMeasurements,192,0.04045841874492606,0.02104121374570181,30.0,0.16889382600784297,0.010487130691565521,2.0,0.02858505842265039,0.012947910881504007,50,0.22964498996734614,0.021544216808478168,1,0.02343566459956175,0.004985344289732887,100,0.2823949813842773,0.047183521572440164,1,0.023435393435540585,0.004985435600143565,200,0.2891340494155884,0.05008762399072423,1,0.025294779683143698,0.013221561854259833,30,0.19961314201354977,0.007954036053093002,1,0.02206508878648593,0.000853773030865349,50,0.4363687515258789,0.07923832643904706,1,0.022020743548390693,0.0008226661473570817,100.0,1.3179023504257201,0.05973942764155971,1.0,0.022020743548390693,0.0008226661473570817,200,4.141569423675537,0.26013233779385175,1
BDBC,2560,0.0034604297704266054,0.0032804386852414735,30.0,0.17745270729064938,0.0035753239004615396,3.0,0.001974876692423445,0.0013837379485521998,50,0.2636286854743958,0.00607629629053112,2,0.001488998517030435,0.0013118142700792646,100,0.5071799755096436,0.042618550858637645,1,0.0012893380105420049,0.0012740520590047066,200,0.7184402108192444,0.1523583793654366,1,0.00245176131395851,0.0019692394896363343,30,0.18861150741577143,0.01221276489620507,2,0.0011514918925888049,0.0009547449580947085,50,0.31832185983657835,0.014081957863962175,1,0.000494435781696925,0.0006005866950145281,100.0,0.7144157409667968,0.03738161135927887,1.0,0.00022395542832407003,4.411407475686552e-05,200,1.733615469932556,0.13068677560790684,1
FFM-1000-200-0.50-SAT-1,10000,0.3410701703272551,0.036406711830580855,30.0,0.6123937964439392,0.0557780117851243,3.0,0.3173283130053479,0.031354575117335345,50,1.0728348731994628,0.08004310802765982,2,0.27533320390414495,0.020285496553422377,100,2.1333642840385436,0.19074852260334613,1,0.24501357488554026,0.020809503290682093,200,3.4607057213783263,0.4765061981551144,1,0.3109832176408992,0.028308079177678556,30,0.6451858162879944,0.0650308788716366,2,0.28601854848451913,0.021436815686644243,50,1.3740798592567445,0.19415922557703705,1,0.25075953071800544,0.01694296906231501,100.0,3.6330779671669005,0.3830062369086974,1.0,0.24354472727997178,0.012665141398980367,200,10.405868709087372,1.340082583631304,1
FFM-125-25-0.50-SAT-1,10000,0.2809045944760205,0.03149477067178159,30.0,0.4206741213798523,0.005571998571764871,3.0,0.24874971547078348,0.03009411724469551,50,0.6785403490066528,0.07407156722328603,2,0.22339280301404166,0.021587668831830414,100,1.5482141733169557,0.10111719167898459,1,0.21486961538518212,0.0055093695685147276,200,2.5332952737808228,0.42719187862525565,1,0.2749631785334886,0.03575084521355447,30,0.25263588428497313,0.01794091766659239,3,0.247649884568148,0.029329898906616567,50,0.49351729154586793,0.06944263186000872,2,0.2218301319781018,0.009279132225153268,100.0,1.0307631969451905,0.07634567053329258,1.0,0.21598198023414997,0.0060469390449084375,200,2.1184589147567747,0.13358557702470913,1
FFM-250-50-0.50-SAT-1,10000,0.3938483913384384,0.02234642561806255,30.0,0.5777842760086059,0.012326911641524073,3.0,0.37445778798246715,0.018676913695813896,50,0.6166067123413086,0.06204642361207996,2,0.3557331194557499,0.013055053956024286,100,1.8132939696311952,0.17540969229060754,1,0.34793179165190474,0.010305542398954152,200,1.9960755348205566,0.4688161477184695,1,0.37597492500084656,0.018983865489470852,30,0.2691465377807617,0.01320969728253637,2,0.36500793879522336,0.012857170476799167,50,0.4759699463844299,0.03480095426941726,1,0.3537881275503429,0.009365260290303552,100.0,1.086215329170227,0.06428106852211095,1.0,0.3452630582096135,0.006429601360481695,200,2.847389853000641,0.22611196725208588,1
FFM-500-100-0.50-SAT-1,10000,nan,nan,nan,nan,nan,nan,0.3731896210353924,0.0464026915709527,50,0.6790372133255005,0.01599042132081836,3,0.3183970511597409,0.024441780086392553,100,1.3284447193145752,0.05984153543069725,1,0.2877470481193388,0.029748076331474575,200,3.065791630744934,0.4650079409307578,1,0.3556477121429194,0.03219613775141756,30,0.3054823040962219,0.020868129885974907,2,0.3398229197325039,0.027138615194993117,50,0.5795855402946473,0.05046878915193469,2,0.3118171997887925,0.027275932629384686,100.0,1.4236289978027343,0.19350328452072418,1.0,0.2850733825080389,0.01489292940839134,200,3.6226044654846192,0.3816339703036736,1
FM-500-100-0.25-SAT-1,10000,0.38228980225478904,0.023467030379517587,30.0,0.24481674432754516,0.0075092635307268795,3.0,0.36275407278293986,0.023113843501698247,50,0.38988295793533323,0.003629230886926281,2,0.3367754757839128,0.012684716611068046,100,2.2573386788368226,0.12551717656968117,1,0.3250099953644477,0.005616680162634263,200,2.220366668701172,0.2753902450290965,1,0.35143824647645683,0.018473325959187787,30,0.3618364453315735,0.03492302326408627,1,0.3440036144295072,0.013791236750706962,50,0.6470240712165832,0.08347330147666833,1,0.33479810620960915,0.00760670459054172,100.0,1.6272485613822938,0.2349625667968058,1.0,0.3285579740189665,0.0057710172564339355,200,4.446436071395874,0.47532363875382944,1
FM-500-100-0.50-SAT-1,10000,0.37703791725816094,0.02781240646606803,30.0,0.24216125011444087,0.006437478528696872,3.0,0.35630432369716264,0.03406850192842971,50,0.4413429856300354,0.011225210981252842,2,0.32492454830166856,0.02275274912168968,100,0.8844926357269287,0.03517628326156933,1,0.30442104284224114,0.027177267190310935,200,1.286092495918274,0.1903644729422025,1,0.3431067359663923,0.026515627622769218,30,0.3165653824806213,0.028824022556163943,2,0.3249237175891011,0.014953933608038712,50,0.733456289768219,0.08761396814382362,1,0.3149105476847415,0.011068562405872987,100.0,1.805645728111267,0.20893740678715328,1.0,0.30439941103621193,0.009940021698673956,200,3.580571138858795,0.2440860197975407,1
FM-500-100-0.75-SAT-1,10000,0.35183545307759995,0.03727213171311518,30.0,0.26952682733535765,0.02559719940796153,3.0,0.3171078464689742,0.034041759222429545,50,0.8465499997138977,0.06570407834328897,2,0.27178702306511154,0.02003619096017918,100,0.7155173659324646,0.047094680139775455,1,0.25606477976612646,0.013831976467590917,200,0.9738449096679688,0.16839588283875748,1,0.31432796142099073,0.026209455128576815,30,0.33726183176040647,0.029573206201082308,2,0.28774231496468866,0.022920117840131933,50,1.1428725957870483,0.07421639770330597,1,0.2670259635573448,0.015626630165139044,100.0,1.5175358414649964,0.17675127663443108,1.0,0.25217136788265293,0.007075697889745677,200,4.659865689277649,0.5150145114744562,1
