Dataset,Rows,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier
7z,68640,0.009025621123826346,0.003913919614893221,30,5.868022978305817,0.2328095009541367,2,0.008663903141857776,0.004593859499238114,50,11.386288106441498,1.4857943538364011,2,0.00445870263701039,0.0050877594733819516,100,26.34924088716507,1.968957725282306,1,0.0012851152697256852,0.002378489298916658,200.0,57.42106301784516,5.34294664619153,1.0,0.0084205862012108,0.004301518889755352,30,0.22321286201477047,0.012176955629523891,2,0.0073044326726545705,0.004765007934601902,50,0.34830689430236816,0.010513827725024188,2,0.003344763554443729,0.004137570758833069,100.0,0.7728093385696411,0.030329831933243855,1.0,0.0004278129808471799,0.00027988376321676364,200,1.4998996615409852,0.10778641805374385,1
Apache_AllMeasurements,192,0.02644498620116271,0.008793169708074214,30,3.1988579392433167,0.09585029569492774,2,0.02284596210298425,0.0015053372571049817,50,6.067808032035828,0.4765430952759112,1,0.022080797244694386,0.0008810591192612349,100,16.877317953109742,1.6919519448503366,1,0.022037871906144056,0.0008465287360205806,200.0,28.366966247558594,4.820649146508008,1.0,0.025294779683143698,0.013221561854259833,30,0.19961314201354977,0.007954036053093002,2,0.02206508878648593,0.000853773030865349,50,0.4363687515258789,0.07923832643904706,1,0.022020743548390693,0.0008226661473570817,100.0,1.3179023504257201,0.05973942764155971,1.0,0.022020743548390693,0.0008226661473570817,200,4.141569423675537,0.26013233779385175,1
BDBC,2560,0.00256743356146715,0.0015525109782191183,30,4.5257133603096005,0.29533133512312926,2,0.001730071481399035,0.0012626527898052852,50,8.112392902374268,0.9140695678172972,2,0.00114457286108167,0.001008791392301129,100,22.430172824859618,2.5707474588929813,1,0.00019606980547873,2.0953529998951774e-05,200.0,52.77992069721222,4.3698318427319025,1.0,0.00245176131395851,0.0019692394896363343,30,0.18861150741577143,0.01221276489620507,2,0.0011514918925888049,0.0009547449580947085,50,0.31832185983657835,0.014081957863962175,1,0.000494435781696925,0.0006005866950145281,100.0,0.7144157409667968,0.03738161135927887,1.0,0.00022395542832407003,4.411407475686552e-05,200,1.733615469932556,0.13068677560790684,1
FFM-1000-200-0.50-SAT-1,10000,0.30267084513601544,0.03402718577091397,30,37.618927359580994,2.3790545014928837,3,0.28293688520540894,0.03470734478267635,50,70.49069608449936,4.876317233651326,2,0.2533114638261593,0.019786839372961045,100,196.96922031641006,9.202394427951175,1,nan,nan,nan,nan,nan,nan,0.3109832176408992,0.028308079177678556,30,0.6451858162879944,0.0650308788716366,3,0.28601854848451913,0.021436815686644243,50,1.3740798592567445,0.19415922557703705,2,0.25075953071800544,0.01694296906231501,100.0,3.6330779671669005,0.3830062369086974,1.0,0.24354472727997178,0.012665141398980367,200,10.405868709087372,1.340082583631304,1
FFM-125-25-0.50-SAT-1,10000,0.25340224653261456,0.03463543011891613,30,9.92514466047287,1.434312358827531,2,0.24828928630823768,0.034557686170445086,50,16.28632310628891,1.9036743051388794,2,0.22530274001712608,0.01203984651316804,100,41.55535098314285,4.177385445994461,1,0.21565873332752844,0.0035942143622061944,200.0,98.0516352891922,8.517376745147708,1.0,0.2749631785334886,0.03575084521355447,30,0.25263588428497313,0.01794091766659239,3,0.247649884568148,0.029329898906616567,50,0.49351729154586793,0.06944263186000872,2,0.2218301319781018,0.009279132225153268,100.0,1.0307631969451905,0.07634567053329258,1.0,0.21598198023414997,0.0060469390449084375,200,2.1184589147567747,0.13358557702470913,1
FFM-250-50-0.50-SAT-1,10000,0.38756786883817396,0.024443552659727887,30,12.99647523164749,1.0979808851750854,3,0.3626771704170224,0.017807986799332962,50,21.58001790046692,1.8014110593434804,2,0.34776231732357654,0.0076364601399072606,100,58.73597778081894,6.328168071809854,1,0.3460669649968289,0.008715034098697016,200.0,176.56922776699065,7.809653689582858,1.0,0.37597492500084656,0.018983865489470852,30,0.2691465377807617,0.01320969728253637,3,0.36500793879522336,0.012857170476799167,50,0.4759699463844299,0.03480095426941726,2,0.3537881275503429,0.009365260290303552,100.0,1.086215329170227,0.06428106852211095,1.0,0.3452630582096135,0.006429601360481695,200,2.847389853000641,0.22611196725208588,1
FFM-500-100-0.50-SAT-1,10000,0.34104706991634737,0.03361115626479766,30,13.780352210998535,2.4716533051129557,2,0.3119325540752072,0.027406752485144743,50,21.102408909797667,2.0464196053104367,1,0.27919168320364196,0.010932670223987319,100,93.72102879285812,3.732791406776821,1,nan,nan,nan,nan,nan,nan,0.3556477121429194,0.03219613775141756,30,0.3054823040962219,0.020868129885974907,2,0.3398229197325039,0.027138615194993117,50,0.5795855402946473,0.05046878915193469,2,0.3118171997887925,0.027275932629384686,100.0,1.4236289978027343,0.19350328452072418,1.0,0.2850733825080389,0.01489292940839134,200,3.6226044654846192,0.3816339703036736,1
FM-500-100-0.25-SAT-1,10000,0.3559410732078176,0.01769791526627795,30,13.212249171733855,1.7355632335070212,3,0.3421783485918096,0.01440564096065702,50,22.19373197555542,2.668016030254514,2,0.3271631016041374,0.007851206290452039,100,64.78995656967163,4.33691012959854,1,0.3273122051377727,0.007074599735864427,200.0,157.7706278681755,8.95394294188586,1.0,0.35143824647645683,0.018473325959187787,30,0.3618364453315735,0.03492302326408627,3,0.3440036144295072,0.013791236750706962,50,0.6470240712165832,0.08347330147666833,2,0.33479810620960915,0.00760670459054172,100.0,1.6272485613822938,0.2349625667968058,1.0,0.3285579740189665,0.0057710172564339355,200,4.446436071395874,0.47532363875382944,1
FM-500-100-0.50-SAT-1,10000,0.34954526307517897,0.031187234137262532,30,12.857652127742767,1.7182905599721854,3,0.3268038244520995,0.02275736730686508,50,23.382897222042082,4.739234374848883,2,0.30002365329556413,0.025543189126359715,100,59.53810957670212,4.071072769154367,1,0.27319713143780605,0.016405091084074015,200.0,155.9225802063942,9.557174824226902,1.0,0.3431067359663923,0.026515627622769218,30,0.3165653824806213,0.028824022556163943,3,0.3249237175891011,0.014953933608038712,50,0.733456289768219,0.08761396814382362,2,0.3149105476847415,0.011068562405872987,100.0,1.805645728111267,0.20893740678715328,2.0,0.30439941103621193,0.009940021698673956,200,3.580571138858795,0.2440860197975407,1
FM-500-100-0.75-SAT-1,10000,0.30367684087024455,0.039065973424494076,30,12.191957902908324,1.2101660348859593,3,0.26747425760143656,0.018716808951535515,50,22.7516197681427,2.3341822672837873,1,0.25671076824150274,0.017387602362368377,100,59.83051869869232,4.691790625247145,1,0.25583003957794564,0.013517806525544705,200.0,145.83150398731232,8.757425636164218,1.0,0.31432796142099073,0.026209455128576815,30,0.33726183176040647,0.029573206201082308,3,0.28774231496468866,0.022920117840131933,50,1.1428725957870483,0.07421639770330597,2,0.2670259635573448,0.015626630165139044,100.0,1.5175358414649964,0.17675127663443108,1.0,0.25217136788265293,0.007075697889745677,200,4.659865689277649,0.5150145114744562,1
